ensembl_gene_id,external_gene_name,ensembl_peptide_id,uniprotswissprot,chromosome_name,band
ENSG00000211825,TRDJ1,ENSP00000452345,A0A075B706,14,q11.2
ENSG00000211821,TRDV2,ENSP00000451578,A0JD36,14,q11.2
ENSG00000223997,TRDD1,ENSP00000451042,P0DPR3,14,q11.2
ENSG00000211836,TRAJ54,ENSP00000452564,,14,q11.2
ENSG00000211840,TRAJ49,ENSP00000451657,,14,q11.2
ENSG00000211828,TRDJ3,ENSP00000451140,,14,q11.2
ENSG00000228985,TRDD3,ENSP00000452494,,14,q11.2
ENSG00000211841,TRAJ48,ENSP00000450777,,14,q11.2
ENSG00000211832,TRAJ59,ENSP00000451065,,14,q11.2
ENSG00000211831,TRAJ61,ENSP00000452464,,14,q11.2
ENSG00000211829,TRDC,ENSP00000451468,,14,q11.2
ENSG00000211833,TRAJ58,ENSP00000452150,,14,q11.2
ENSG00000211826,TRDJ4,ENSP00000452040,,14,q11.2
ENSG00000211842,TRAJ47,ENSP00000451749,,14,q11.2
ENSG00000211827,TRDJ2,ENSP00000450875,,14,q11.2
ENSG00000211835,TRAJ56,ENSP00000451870,,14,q11.2
ENSG00000151413,NUBPL,ENSP00000446511,,14,q12
ENSG00000237235,TRDD2,ENSP00000451515,,14,q11.2
ENSG00000129515,SNX6,ENSP00000379779,Q9UNH7,14,q13.1
ENSG00000211837,TRAJ53,ENSP00000451299,,14,q11.2
ENSG00000211844,TRAJ45,ENSP00000451312,,14,q11.2
ENSG00000211838,TRAJ52,ENSP00000451143,,14,q11.2
ENSG00000256590,TRDV3,ENSP00000451750,A0JD37,14,q11.2
ENSG00000211834,TRAJ57,ENSP00000452248,,14,q11.2
ENSG00000126773,PCNX4,ENSP00000317396,,14,q23.1
ENSG00000126778,SIX1,ENSP00000494686,Q15475,14,q23.1
ENSG00000154001,PPP2R5E,ENSP00000337641,Q16537,14,q23.2
ENSG00000198252,STYX,ENSP00000403214,Q8WUJ0,14,q22.1
ENSG00000126790,L3HYPDH,ENSP00000247194,Q96EM0,14,q23.1
ENSG00000179008,C14orf39,ENSP00000451937,,14,q23.1
ENSG00000184302,SIX6,ENSP00000328596,O95475,14,q23.1
ENSG00000100625,SIX4,ENSP00000216513,Q9UIU6,14,q23.1
ENSG00000100614,PPM1A,ENSP00000327255,P35813,14,q23.1
ENSG00000151838,CCDC175,ENSP00000453940,P0C221,14,q23.1
ENSG00000100612,DHRS7,ENSP00000216500,Q9Y394,14,q23.1
ENSG00000100731,PCNX1,ENSP00000304192,Q96RV3,14,q24.2
ENSG00000179600,GPHB5,ENSP00000478993,Q86YW7,14,q23.2
ENSG00000020426,MNAT1,ENSP00000261245,P51948,14,q23.1
ENSG00000267909,CCDC177,ENSP00000469474,Q9NQR7,14,q24.1
ENSG00000119599,DCAF4,ENSP00000351147,Q8WV16,14,q24.2
ENSG00000050130,JKAMP,ENSP00000479775,Q9P055,14,q23.1
ENSG00000126785,RHOJ,ENSP00000451796,,14,q23.2
ENSG00000180008,SOCS4,ENSP00000378855,Q8WXH5,14,q22.3
ENSG00000140015,KCNH5,ENSP00000321427,Q8NCM2,14,q23.2
ENSG00000100647,SUSD6,ENSP00000344424,Q92537,14,q24.1
ENSG00000129521,EGLN3,ENSP00000250457,Q9H6Z9,14,q13.1
ENSG00000165389,SPTSSA,ENSP00000298130,Q969W0,14,q13.1
ENSG00000175985,PLEKHD1,ENSP00000317175,A6NEE1,14,q24.1
ENSG00000119681,LTBP2,ENSP00000261978,Q14767,14,q24.3
ENSG00000165898,ISCA2,ENSP00000452007,Q86U28,14,q24.3
ENSG00000042317,SPATA7,ENSP00000451128,Q9P0W8,14,q31.3
ENSG00000053770,AP5M1,ENSP00000261558,Q9H0R1,14,q22.3
ENSG00000151812,SLC35F4,ENSP00000452086,,14,q23.1
ENSG00000125378,BMP4,ENSP00000245451,P12644,14,q22.2
ENSG00000211839,TRAJ50,ENSP00000451589,,14,q11.2
ENSG00000100650,SRSF5,ENSP00000452123,Q13243,14,q24.1
ENSG00000033170,FUT8,ENSP00000353910,Q9BYC5,14,q23.3
ENSG00000139977,NAA30,ENSP00000450939,,14,q22.3
ENSG00000176435,CLEC14A,ENSP00000353013,Q86T13,14,q21.1
ENSG00000182732,RGS6,ENSP00000451030,P49758,14,q24.2
ENSG00000070778,PTPN21,ENSP00000452414,Q16825,14,q31.3
ENSG00000183379,SYNDIG1L,ENSP00000450439,A6NDD5,14,q24.3
ENSG00000139921,TMX1,ENSP00000393316,Q9H3N1,14,q22.1
ENSG00000087302,RTRAF,ENSP00000261700,Q9Y224,14,q22.1
ENSG00000151320,AKAP6,ENSP00000280979,Q13023,14,q12
ENSG00000139874,SSTR1,ENSP00000267377,P30872,14,q21.1
ENSG00000100629,CEP128,ENSP00000451319,,14,q31.1
ENSG00000139971,ARMH4,ENSP00000267485,Q86TY3,14,q23.1
ENSG00000119720,NRDE2,ENSP00000346335,Q9H7Z3,14,q32.11
ENSG00000205476,CCDC85C,ENSP00000369592,A6NKD9,14,q32.2
ENSG00000080823,MOK,ENSP00000453401,,14,q32.31
ENSG00000100764,PSMC1,ENSP00000261303,P62191,14,q32.11
ENSG00000066739,ATG2B,ENSP00000353010,Q96BY7,14,q32.2
ENSG00000211949,IGHV3-23,ENSP00000375018,P01764,14,q32.33
ENSG00000100784,RPS6KA5,ENSP00000479667,O75582,14,q32.11
ENSG00000211956,IGHV4-34,ENSP00000375025,P06331,14,q32.33
ENSG00000140057,AK7,ENSP00000267584,Q96M32,14,q32.2
ENSG00000066455,GOLGA5,ENSP00000163416,Q8TBA6,14,q32.12
ENSG00000070269,TMEM260,ENSP00000451677,,14,q22.3
ENSG00000100739,BDKRB1,ENSP00000216629,P46663,14,q32.2
ENSG00000211958,IGHV3-38,ENSP00000375027,A0A0C4DH36,14,q32.33
ENSG00000170779,CDCA4,ENSP00000337226,Q9BXL8,14,q32.33
ENSG00000211952,IGHV4-28,ENSP00000375021,A0A0C4DH34,14,q32.33
ENSG00000211947,IGHV3-21,ENSP00000375016,A0A0B4J1V1,14,q32.33
ENSG00000282639,IGHV3-64D,ENSP00000488230,A0A0J9YX35,14,q32.33
ENSG00000211957,IGHV3-35,ENSP00000375026,A0A0C4DH35,14,q32.33
ENSG00000211943,IGHV3-15,ENSP00000375012,A0A0B4J1V0,14,q32.33
ENSG00000100600,LGMN,ENSP00000451861,Q99538,14,q32.12
ENSG00000090061,CCNK,ENSP00000374529,O75909,14,q32.2
ENSG00000140104,CLBA1,ENSP00000447512,,14,q32.33
ENSG00000183576,SETD3,ENSP00000327436,Q86TU7,14,q32.2
ENSG00000211946,IGHV3-20,ENSP00000375015,A0A0C4DH32,14,q32.33
ENSG00000185567,AHNAK2,ENSP00000450998,Q8IVF2,14,q32.33
ENSG00000211950,IGHV1-24,ENSP00000375019,A0A0C4DH33,14,q32.33
ENSG00000211955,IGHV3-33,ENSP00000375024,P01772,14,q32.33
ENSG00000165914,TTC7B,ENSP00000336127,Q86TV6,14,q32.11
ENSG00000270550,IGHV3-30,ENSP00000474524,P01768,14,q32.33
ENSG00000119714,GPR68,ENSP00000434045,Q15743,14,q32.11
ENSG00000282651,IGHV5-10-1,ENSP00000488144,A0A0J9YXX1,14,q32.33
ENSG00000258691,,ENSP00000450984,,14,q32.2
ENSG00000152315,KCNK13,ENSP00000282146,Q9HB14,14,q32.11
ENSG00000211951,IGHV2-26,ENSP00000375020,A0A0B4J1V2,14,q32.33
ENSG00000042088,TDP1,ENSP00000452042,,14,q32.11
ENSG00000211945,IGHV1-18,ENSP00000375014,A0A0C4DH31,14,q32.33
ENSG00000231475,IGHV4-31,ENSP00000395656,A0A087WSY4,14,q32.33
ENSG00000165496,RPL10L,ENSP00000298283,Q96L21,14,q21.2
ENSG00000131966,ACTR10,ENSP00000438183,,14,q23.1
ENSG00000100744,GSKIP,ENSP00000450420,Q9P0R6,14,q32.2
ENSG00000211942,IGHV3-13,ENSP00000375011,P01766,14,q32.33
ENSG00000126777,KTN1,ENSP00000451641,,14,q22.3
ENSG00000211944,IGHV3-16,ENSP00000375013,A0A0C4DH30,14,q32.33
ENSG00000140025,EFCAB11,ENSP00000326267,Q9BUY7,14,q32.11
ENSG00000211941,IGHV3-11,ENSP00000375010,P01762,14,q32.33
ENSG00000211843,TRAJ46,ENSP00000451191,,14,q11.2
ENSG00000211845,TRAJ44,ENSP00000451632,,14,q11.2
ENSG00000211846,TRAJ43,ENSP00000450690,,14,q11.2
ENSG00000211847,TRAJ42,ENSP00000451815,A0A075B6Y9,14,q11.2
ENSG00000211848,TRAJ41,ENSP00000452149,,14,q11.2
ENSG00000211849,TRAJ40,ENSP00000452114,,14,q11.2
ENSG00000211850,TRAJ39,ENSP00000452510,,14,q11.2
ENSG00000278661,TRAJ37,ENSP00000483197,,14,q11.2
ENSG00000276699,TRAJ36,ENSP00000478270,,14,q11.2
ENSG00000211854,TRAJ35,ENSP00000451687,,14,q11.2
ENSG00000211855,TRAJ34,ENSP00000450793,,14,q11.2
ENSG00000211856,TRAJ33,ENSP00000451175,,14,q11.2
ENSG00000211857,TRAJ32,ENSP00000451503,,14,q11.2
ENSG00000211858,TRAJ31,ENSP00000452141,A0A075B700,14,q11.2
ENSG00000211859,TRAJ30,ENSP00000451671,,14,q11.2
ENSG00000211860,TRAJ29,ENSP00000452518,,14,q11.2
ENSG00000211861,TRAJ28,ENSP00000451561,,14,q11.2
ENSG00000211862,TRAJ27,ENSP00000451221,,14,q11.2
ENSG00000211863,TRAJ26,ENSP00000450953,,14,q11.2
ENSG00000211864,TRAJ25,ENSP00000452115,,14,q11.2
ENSG00000211865,TRAJ24,ENSP00000452134,,14,q11.2
ENSG00000211866,TRAJ23,ENSP00000450455,,14,q11.2
ENSG00000211867,TRAJ22,ENSP00000451843,,14,q11.2
ENSG00000211868,TRAJ21,ENSP00000450760,,14,q11.2
ENSG00000211869,TRAJ20,ENSP00000451847,,14,q11.2
ENSG00000211870,TRAJ19,ENSP00000451728,,14,q11.2
ENSG00000211871,TRAJ18,ENSP00000451639,,14,q11.2
ENSG00000211872,TRAJ17,ENSP00000451250,,14,q11.2
ENSG00000211873,TRAJ16,ENSP00000450622,,14,q11.2
ENSG00000211875,TRAJ14,ENSP00000450438,,14,q11.2
ENSG00000211876,TRAJ13,ENSP00000452484,,14,q11.2
ENSG00000211877,TRAJ12,ENSP00000450522,,14,q11.2
ENSG00000211878,TRAJ11,ENSP00000451806,,14,q11.2
ENSG00000211879,TRAJ10,ENSP00000451066,,14,q11.2
ENSG00000211880,TRAJ9,ENSP00000451766,,14,q11.2
ENSG00000211882,TRAJ7,ENSP00000452600,,14,q11.2
ENSG00000211883,TRAJ6,ENSP00000451965,,14,q11.2
